Athlete,Year,Time,Meet,Meet Date,Wind,Class
"Carroll, Michael",2010,11.07,Redlands-CMS-CLU-CIT Quad Meet,"Apr 3, 2010",1.9,SO-2
"Carroll, Michael",2010,11.23,Cal Lu - CMS - La Verne - Whittier,"Mar 6, 2010",1.2,SO-2
"Macdonald, Jeff",2010,11.24,SCIAC Quad Meet,"Apr 17, 2010",-1,NA
"Carroll, Michael",2010,11.24,2010 Pomona-Pitzer Track & Field Invite (Invited Colleges),"Apr 10, 2010",0.5,SO-2
"Carroll, Michael",2010,11.28,SCIAC Championships,"Apr 30, 2010",0.9,SO-2
"Pittman, Ryan",2010,11.33,Claremont Classic Multi,"May 13, 2010",1.3,SR-4
"Weyerhaeuser, Jake",2010,11.41,SCIAC Championships,"Apr 30, 2010",0.6,NA
"Weyerhaeuser, Jake",2010,11.45,4 Way Scoring Meet,"Feb 20, 2010",1.3,NA
"Hansen, Kyle",2010,11.51,Redlands-CMS-CLU-CIT Quad Meet,"Apr 3, 2010",1.9,NA
"Hansen, Kyle",2010,11.51,Spring Break Classic,"Mar 20, 2010",1.3,NA
"Weyerhaeuser, Jake",2010,11.53,SCIAC Quad Meet,"Apr 17, 2010",-1,NA
"Pittman, Ryan",2010,11.54,2010 Pomona-Pitzer Track & Field Invite (Invited Colleges),"Apr 10, 2010",-0.7,SR-4
"Hansen, Kyle",2010,11.55,2010 Pomona-Pitzer Track & Field Invite (Invited Colleges),"Apr 10, 2010",1.7,NA
"Hansen, Kyle",2010,11.6,SCIAC Quad Meet,"Apr 17, 2010",0.6,NA
"Hansen, Kyle",2010,11.6,SCIAC Championships,"Apr 30, 2010",-0.1,NA
"Blasher, Daniel",2010,11.64,Redlands-CMS-CLU-CIT Quad Meet,"Apr 3, 2010",1,FR-1
"Pittman, Ryan",2010,11.65,CSUN Multi's,"Mar 18, 2010",-1.2,SR-4
"Hansen, Kyle",2010,11.68,Cal Lu - CMS - La Verne - Whittier,"Mar 6, 2010",1.2,NA
"Pittman, Ryan",2010,11.74,4 Way Scoring Meet,"Feb 20, 2010",0.8,SR-4
"Blasher, Daniel",2010,11.76,2010 Pomona-Pitzer Track & Field Invite (Invited Colleges),"Apr 10, 2010",-0.7,FR-1
"Hansen, Kyle",2010,11.78,4 Way Scoring Meet,"Feb 20, 2010",1.3,NA
"Grossman, Skyler",2010,11.79,Cal Lu - CMS - La Verne - Whittier,"Mar 6, 2010",0.4,FR-1
"Grossman, Skyler",2010,11.84,4 Way Scoring Meet,"Feb 20, 2010",1.3,FR-1
"Soll, Jason",2010,11.88,SCIAC Championships,"Apr 30, 2010",-0.1,SO-2
"Soll, Jason",2010,11.91,2010 Pomona-Pitzer Track & Field Invite (Invited Colleges),"Apr 10, 2010",0,SO-2
"Grossman, Skyler",2010,11.91,Rossi Relays,"Feb 27, 2010",1.8,FR-1
"Soll, Jason",2010,11.92,Spring Break Classic,"Mar 20, 2010",1.7,SO-2
"Grossman, Skyler",2010,11.92,Spring Break Classic,"Mar 20, 2010",1.3,FR-1
"Grossman, Skyler",2010,11.99,2010 Pomona-Pitzer Track & Field Invite (Invited Colleges),"Apr 10, 2010",-0.7,FR-1
"Soll, Jason",2010,12.1,SCIAC Quad Meet,"Apr 17, 2010",0.6,SO-2
"Soll, Jason",2010,12.18,4 Way Scoring Meet,"Feb 20, 2010",0.8,SO-2
"Soll, Jason",2010,12.28,Cal Lu - CMS - La Verne - Whittier,"Mar 6, 2010",0.4,SO-2
"Cheung, Jeremy",2010,12.55,4 Way Scoring Meet,"Feb 20, 2010",0.8,SO-2
"Honda, Masanori",2010,12.56,SCIAC Quad Meet,"Apr 17, 2010",0.8,SR-4
"Boone, Ryan",2010,12.64,Rossi Relays,"Feb 27, 2010",0.5,FR-1
"Cheung, Jeremy",2010,12.68,SCIAC Quad Meet,"Apr 17, 2010",0.8,SO-2
"Cheung, Jeremy",2010,12.82,Redlands-CMS-CLU-CIT Quad Meet,"Apr 3, 2010",1,SO-2
"Cheung, Jeremy",2010,13.14,Cal Lu - CMS - La Verne - Whittier,"Mar 6, 2010",0,SO-2
